"filename", "language", "JavaScript", "Properties", "CSS", "XML", "Markdown", "TypeScript", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\help\js\i18n\keynav\th_TH.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\help\js\i18n\keynav\tr.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\help\js\i18n\keynav\uk.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\help\js\i18n\keynav\vi.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\help\js\i18n\keynav\zh_CN.js", "JavaScript", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\help\js\i18n\keynav\zh_TW.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\help\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\image\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\importcss\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\insertdatetime\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\link\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\lists\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\media\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\nonbreaking\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\pagebreak\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\preview\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\quickbars\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\save\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\searchreplace\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4
